,Time,BE_line,Tag_Turn_MOD,BME_Turn_MOD,N_Turn_MOD,STT_Turn_MOD,ETT_Turn_MOD,Duration_Turn_MOD,Tag_Turn_P1,BME_Turn_P1,N_Turn_P1,STT_Turn_P1,ETT_Turn_P1,Duration_Turn_P1,Tag_Turn_P2,BME_Turn_P2,N_Turn_P2,STT_Turn_P2,ETT_Turn_P2,Duration_Turn_P2,Conv_MOD_P1_P2,Unnamed: 21
7918,18.77,B,and then you need to rank those answers eh in terms of popularity.,B_W,0.0,18.77,23.15,4.38,,0,,,,,,0,,,,,S14_M003_P030_P031,
8892,0.76,B,"Hello guys, thanks very much for being here today.",B_W,0.0,0.76,3.257,2.497,,0,,,,,,0,,,,,S17_M003_P036_P037,
8893,3.257,E,"Hello guys, thanks very much for being here today.",E_W,0.0,0.76,3.257,2.497,,0,,,,,,0,,,,,S17_M003_P036_P037,
8894,3.257,B,Eh we're going to play a quiz.,B_W,0.0,3.257,5.614,2.357,,0,,,,,,0,,,,,S17_M003_P036_P037,
8895,5.614,E,Eh we're going to play a quiz.,E_W,0.0,3.257,5.614,2.357,,0,,,,,,0,,,,,S17_M003_P036_P037,
8896,5.614,B,So I'm going to ask you three survey questions that were previously posed to a grip group of hundred people.,B_W,0.0,5.614,11.644,6.03,,0,,,,,,0,,,,,S17_M003_P036_P037,
8897,11.644,E,So I'm going to ask you three survey questions that were previously posed to a grip group of hundred people.,E_W,0.0,5.614,11.644,6.03,,0,,,,,,0,,,,,S17_M003_P036_P037,
8898,11.644,B,So you'll have to come with the three most popular answers.,B_W,0.0,11.644,15.249,3.605,,0,,,,,,0,,,,,S17_M003_P036_P037,
8899,15.249,E,So you'll have to come with the three most popular answers.,E_W,0.0,11.644,15.249,3.605,,0,,,,,,0,,,,,S17_M003_P036_P037,
8900,15.633,B,You need to colla,B_W,0.0,15.633,16.453,0.82,Ok.,B_W,0.0,15.633,16.453,0.82,,0,,,,,S17_M003_P036_P037,
8901,16.453,E,You need to colla,E_W,0.0,15.633,16.453,0.82,Ok.,E_W,0.0,15.633,16.453,0.82,,0,,,,,S17_M003_P036_P037,
8902,16.453,B,"borate, you need to talk to each other and then you'll have to rank those answers.",B_W,0.0,16.453,20.175,3.722,,0,,,,,,0,,,,,S17_M003_P036_P037,
9898,0.0,B,Ok hi guys,B_W,0.0,0.0,1.035,1.035,,0,,,,,,0,,,,,S18_M003_P038_P039,
9899,1.035,E,Ok hi guys,E_W,0.0,0.0,1.035,1.035,,0,,,,,,0,,,,,S18_M003_P038_P039,
9900,1.035,B,Thanks very much for coming,B_W,0.0,1.035,2.161,1.126,Hello,B_W,0.0,1.035,2.161,1.126,,0,,,,,S18_M003_P038_P039,
9901,2.161,E,Thanks very much for coming,E_W,0.0,1.035,2.161,1.126,Hello,E_W,0.0,1.035,2.161,1.126,,0,,,,,S18_M003_P038_P039,
9902,2.161,B,here today,B_W,0.0,2.161,2.933,0.772,,0,,,,,,0,,,,,S18_M003_P038_P039,
9903,2.933,E,here today,E_W,0.0,2.161,2.933,0.772,,0,,,,,,0,,,,,S18_M003_P038_P039,
9904,2.933,B,,0,,,,,,0,,,,,Thanks,B_W,0.0,2.933,3.447,0.514,S18_M003_P038_P039,
9905,3.447,E,,0,,,,,,0,,,,,Thanks,E_W,0.0,2.933,3.447,0.514,S18_M003_P038_P039,
9906,3.447,B,We're going to play a quiz.,B_W,0.0,3.447,5.204,1.757,,0,,,,,,0,,,,,S18_M003_P038_P039,
9907,5.204,E,We're going to play a quiz.,E_W,0.0,3.447,5.204,1.757,,0,,,,,,0,,,,,S18_M003_P038_P039,
9908,5.204,B,So I'm going to ask you three survey questions,B_W,0.0,5.204,7.692,2.488,,0,,,,,,0,,,,,S18_M003_P038_P039,
9909,7.692,E,So I'm going to ask you three survey questions,E_W,0.0,5.204,7.692,2.488,,0,,,,,,0,,,,,S18_M003_P038_P039,
9910,7.692,B,that were previously posed to a group of hundred people,B_W,0.0,7.692,10.62,2.928,,0,,,,,,0,,,,,S18_M003_P038_P039,
9911,10.62,E,that were previously posed to a group of hundred people,E_W,0.0,7.692,10.62,2.928,,0,,,,,,0,,,,,S18_M003_P038_P039,
9912,10.62,B,,0,,,,,,0,,,,,hmm,B_W,0.0,10.62,11.186,0.566,S18_M003_P038_P039,
9913,11.186,E,,0,,,,,,0,,,,,hmm,E_W,0.0,10.62,11.186,0.566,S18_M003_P038_P039,
9914,11.186,B,So for each question you have to give me the three most popular answers.,B_W,0.0,11.186,15.475,4.289,,0,,,,,,0,,,,,S18_M003_P038_P039,
9915,15.475,E,So for each question you have to give me the three most popular answers.,E_W,0.0,11.186,15.475,4.289,,0,,,,,,0,,,,,S18_M003_P038_P039,
9916,15.475,B,"You have to talk to each other, you need to work together",B_W,0.0,15.475,18.153,2.678,,0,,,,,,0,,,,,S18_M003_P038_P039,
9917,18.153,E,"You have to talk to each other, you need to work together",E_W,0.0,15.475,18.153,2.678,,0,,,,,,0,,,,,S18_M003_P038_P039,
9918,18.153,B,and you will have to order these answers in terms of popularity.,B_W,0.0,18.153,24.032,5.879,,0,,,,,,0,,,,,S18_M003_P038_P039,
10654,0.0,B,Perfect.,B_W,0.0,0.0,0.672,0.672,,0,,,,,,0,,,,,S19_M003_P041_P040,
10655,0.672,E,Perfect.,E_W,0.0,0.0,0.672,0.672,,0,,,,,,0,,,,,S19_M003_P041_P040,
10656,0.672,B,Well hi guys.,B_W,0.0,0.672,1.643,0.971,,0,,,,,,0,,,,,S19_M003_P041_P040,
10657,1.643,E,Well hi guys.,E_W,0.0,0.672,1.643,0.971,,0,,,,,,0,,,,,S19_M003_P041_P040,
10658,1.643,B,Welcome.,B_W,0.0,1.643,2.151,0.508,,0,,,,,Hi.,B_W,0.0,1.643,2.151,0.508,S19_M003_P041_P040,
10659,2.151,E,Welcome.,E_W,0.0,1.643,2.151,0.508,,0,,,,,Hi.,E_W,0.0,1.643,2.151,0.508,S19_M003_P041_P040,
10660,2.151,B,,0,,,,,Hi.,B_W,0.0,2.151,2.663,0.512,,0,,,,,S19_M003_P041_P040,
10661,2.663,E,,0,,,,,Hi.,E_W,0.0,2.151,2.663,0.512,,0,,,,,S19_M003_P041_P040,
10662,2.663,B,Thanks for coming here today.,B_W,0.0,2.663,4.418,1.755,,0,,,,,,0,,,,,S19_M003_P041_P040,
10663,4.418,E,Thanks for coming here today.,E_W,0.0,2.663,4.418,1.755,,0,,,,,,0,,,,,S19_M003_P041_P040,
10664,4.418,B, [eh] so we're going to play a quiz.,B_W,0.0,4.418,6.778,2.36,,0,,,,,,0,,,,,S19_M003_P041_P040,
10665,6.778,E, [eh] so we're going to play a quiz.,E_W,0.0,4.418,6.778,2.36,,0,,,,,,0,,,,,S19_M003_P041_P040,
10666,6.778,B,I'm going to ask you three survey questions that were previously posed to a group of hundred people.,B_W,0.0,6.778,12.015,5.237,,0,,,,,,0,,,,,S19_M003_P041_P040,
10667,12.015,E,I'm going to ask you three survey questions that were previously posed to a group of hundred people.,E_W,0.0,6.778,12.015,5.237,,0,,,,,,0,,,,,S19_M003_P041_P040,
10668,12.015,B,,0,,,,,,0,,,,,mhmm,B_W,0.0,12.015,12.382,0.367,S19_M003_P041_P040,
10669,12.382,E,,0,,,,,,0,,,,,mhmm,E_W,0.0,12.015,12.382,0.367,S19_M003_P041_P040,
10670,12.689,B, [eh] you'll have to give me the three most popular answers,B_W,0.0,12.689,15.622,2.933,,0,,,,,,0,,,,,S19_M003_P041_P040,
10671,15.622,E, [eh] you'll have to give me the three most popular answers,E_W,0.0,12.689,15.622,2.933,,0,,,,,,0,,,,,S19_M003_P041_P040,
10672,16.203,B,and after talking to each other you'll have to order these answers in terms of popularity.,B_W,0.0,16.203,21.039,4.836,,0,,,,,,0,,,,,S19_M003_P041_P040,
11471,0.0,B,So hello.,B_W,0.0,0.0,0.807,0.807,,0,,,,,,0,,,,,S20_M003_P043_P042,
11472,0.807,E,So hello.,E_W,0.0,0.0,0.807,0.807,,0,,,,,,0,,,,,S20_M003_P043_P042,
11473,0.807,B,Thanks,B_W,0.0,0.807,1.113,0.306,,0,,,,,,0,,,,,S20_M003_P043_P042,
11474,1.113,E,Thanks,E_W,0.0,0.807,1.113,0.306,,0,,,,,,0,,,,,S20_M003_P043_P042,
11475,1.113,B,very,B_W,0.0,1.113,1.367,0.254,,0,,,,,Hi.,B_W,0.0,1.113,1.367,0.254,S20_M003_P043_P042,
11476,1.367,E,very,E_W,0.0,1.113,1.367,0.254,,0,,,,,Hi.,E_W,0.0,1.113,1.367,0.254,S20_M003_P043_P042,
11477,1.367,B,much for coming here today.,B_W,0.0,1.367,2.808,1.441,,0,,,,,,0,,,,,S20_M003_P043_P042,
11478,2.808,E,much for coming here today.,E_W,0.0,1.367,2.808,1.441,,0,,,,,,0,,,,,S20_M003_P043_P042,
11479,2.808,B,,0,,,,,Thank you.,B_W,0.0,2.808,3.318,0.51,,0,,,,,S20_M003_P043_P042,
11480,3.318,E,,0,,,,,Thank you.,E_W,0.0,2.808,3.318,0.51,,0,,,,,S20_M003_P043_P042,
11481,3.318,B,Ah we're going to play a quiz,B_W,0.0,3.318,4.999,1.681,,0,,,,,,0,,,,,S20_M003_P043_P042,
11482,4.999,E,Ah we're going to play a quiz,E_W,0.0,3.318,4.999,1.681,,0,,,,,,0,,,,,S20_M003_P043_P042,
11483,5.593,B,I'm going to ask you three survey questions that were eh previously posed to a group of hundred people.,B_W,0.0,5.593,10.803,5.21,,0,,,,,,0,,,,,S20_M003_P043_P042,
11484,10.803,E,I'm going to ask you three survey questions that were eh previously posed to a group of hundred people.,E_W,0.0,5.593,10.803,5.21,,0,,,,,,0,,,,,S20_M003_P043_P042,
11485,10.803,B,,0,,,,,,0,,,,,Oh wow.,B_W,0.0,10.803,11.418,0.615,S20_M003_P043_P042,
11486,11.418,E,,0,,,,,,0,,,,,Oh wow.,E_W,0.0,10.803,11.418,0.615,S20_M003_P043_P042,
11487,11.418,B,You have to come up with the three most popular answers.,B_W,0.0,11.418,14.041,2.623,,0,,,,,,0,,,,,S20_M003_P043_P042,
11488,14.041,E,You have to come up with the three most popular answers.,E_W,0.0,11.418,14.041,2.623,,0,,,,,,0,,,,,S20_M003_P043_P042,
11489,14.622,B,And after,B_W,0.0,14.622,15.064,0.442,Ok.,B_W,0.0,14.622,15.064,0.442,,0,,,,,S20_M003_P043_P042,
11490,15.064,E,And after,E_W,0.0,14.622,15.064,0.442,Ok.,E_W,0.0,14.622,15.064,0.442,,0,,,,,S20_M003_P043_P042,
11491,15.064,B,talking to each other you you need to collaborate in order to order these answers in terms of popularity.,B_W,0.0,15.064,20.243,5.179,,0,,,,,,0,,,,,S20_M003_P043_P042,
12132,0.0,B,Ok so hello guys.,B_W,0.0,0.0,1.882,1.882,,0,,,,,,0,,,,,S21_M003_P045_P044,
12133,1.882,E,Ok so hello guys.,E_W,0.0,0.0,1.882,1.882,,0,,,,,,0,,,,,S21_M003_P045_P044,
12134,1.882,B,Thanks very,B_W,0.0,1.882,2.407,0.525,,0,,,,,Hi.,B_W,0.0,1.882,2.407,0.525,S21_M003_P045_P044,
12135,2.407,E,Thanks very,E_W,0.0,1.882,2.407,0.525,,0,,,,,Hi.,E_W,0.0,1.882,2.407,0.525,S21_M003_P045_P044,
12136,2.407,B,much for being here today.,B_W,0.0,2.407,4.053,1.646,,0,,,,,,0,,,,,S21_M003_P045_P044,
12137,4.053,E,much for being here today.,E_W,0.0,2.407,4.053,1.646,,0,,,,,,0,,,,,S21_M003_P045_P044,
12138,4.053,B,We are going to play a quiz.,B_W,0.0,4.053,5.953,1.9,,0,,,,,,0,,,,,S21_M003_P045_P044,
12139,5.953,E,We are going to play a quiz.,E_W,0.0,4.053,5.953,1.9,,0,,,,,,0,,,,,S21_M003_P045_P044,
12140,5.953,B,So I'm going to ask you three questions that were previously posed to a group of hundred people.,B_W,0.0,5.953,11.256,5.303,,0,,,,,,0,,,,,S21_M003_P045_P044,
12141,11.256,E,So I'm going to ask you three questions that were previously posed to a group of hundred people.,E_W,0.0,5.953,11.256,5.303,,0,,,,,,0,,,,,S21_M003_P045_P044,
12142,11.256,B,You'll have to give me the three most popular anwers for each question,B_W,0.0,11.256,14.784,3.528,,0,,,,,,0,,,,,S21_M003_P045_P044,
12143,14.784,E,You'll have to give me the three most popular anwers for each question,E_W,0.0,11.256,14.784,3.528,,0,,,,,,0,,,,,S21_M003_P045_P044,
12144,14.784,B,you need to talk to each other in order to collaborate and then,B_W,0.0,14.784,18.492,3.708,,0,,,,,,0,,,,,S21_M003_P045_P044,
12145,18.492,E,you need to talk to each other in order to collaborate and then,E_W,0.0,14.784,18.492,3.708,,0,,,,,,0,,,,,S21_M003_P045_P044,
12146,18.492,B,order those answers in terms of popularity.,B_W,0.0,18.492,21.837,3.345,,0,,,,,,0,,,,,S21_M003_P045_P044,
12979,0.0,B,Ah it's fine.,B_W,0.0,0.0,0.565,0.565,,0,,,,,,0,,,,,S22_M003_P047_P046,
12980,0.565,E,Ah it's fine.,E_W,0.0,0.0,0.565,0.565,,0,,,,,,0,,,,,S22_M003_P047_P046,
12981,0.565,B,Hello guys.,B_W,0.0,0.565,1.385,0.82,,0,,,,,,0,,,,,S22_M003_P047_P046,
12982,1.385,E,Hello guys.,E_W,0.0,0.565,1.385,0.82,,0,,,,,,0,,,,,S22_M003_P047_P046,
12983,1.385,B, [eh] Thanks very much for being here today.,B_W,0.0,1.385,3.391,2.006,,0,,,,,,0,,,,,S22_M003_P047_P046,
12984,3.391,E, [eh] Thanks very much for being here today.,E_W,0.0,1.385,3.391,2.006,,0,,,,,,0,,,,,S22_M003_P047_P046,
12985,3.82,B,We're going to play a quiz.,B_W,0.0,3.82,5.344,1.524,,0,,,,,,0,,,,,S22_M003_P047_P046,
12986,5.344,E,We're going to play a quiz.,E_W,0.0,3.82,5.344,1.524,,0,,,,,,0,,,,,S22_M003_P047_P046,
12987,5.669,B,I'm going to ask you three questions that were previously posed to a group of hundred people.,B_W,0.0,5.669,10.066,4.397,,0,,,,,,0,,,,,S22_M003_P047_P046,
12988,10.066,E,I'm going to ask you three questions that were previously posed to a group of hundred people.,E_W,0.0,5.669,10.066,4.397,,0,,,,,,0,,,,,S22_M003_P047_P046,
12989,10.066,B,You'll have to find the three most popular answers,B_W,0.0,10.066,13.224,3.158,,0,,,,,,0,,,,,S22_M003_P047_P046,
12990,13.224,E,You'll have to find the three most popular answers,E_W,0.0,10.066,13.224,3.158,,0,,,,,,0,,,,,S22_M003_P047_P046,
12991,13.736,B,"and then you need to talk to each other, you need to collaborate",B_W,0.0,13.736,16.146,2.41,,0,,,,,,0,,,,,S22_M003_P047_P046,
12992,16.146,E,"and then you need to talk to each other, you need to collaborate",E_W,0.0,13.736,16.146,2.41,,0,,,,,,0,,,,,S22_M003_P047_P046,
12993,16.146,B,in order to order these answers in terms of popularity.,B_W,0.0,16.146,19.665,3.519,,0,,,,,,0,,,,,S22_M003_P047_P046,
12994,19.665,E,in order to order these answers in terms of popularity.,E_W,0.0,16.146,19.665,3.519,,0,,,,,,0,,,,,S22_M003_P047_P046,
13672,0.0,B,,0,,,,,set,B_W,0.0,0.0,0.518,0.518,,0,,,,,S23_M003_P049_P048,
13673,0.518,E,,0,,,,,set,E_W,0.0,0.0,0.518,0.518,,0,,,,,S23_M003_P049_P048,
13674,0.518,B,So hi guys [eh] ,B_W,0.0,0.518,1.868,1.35,,0,,,,,,0,,,,,S23_M003_P049_P048,
13675,1.868,E,So hi guys [eh] ,E_W,0.0,0.518,1.868,1.35,,0,,,,,,0,,,,,S23_M003_P049_P048,
13676,1.868,B,thanks,B_W,0.0,1.868,2.174,0.306,,0,,,,,hi,B_W,0.0,1.868,2.174,0.306,S23_M003_P049_P048,
13677,2.174,E,thanks,E_W,0.0,1.868,2.174,0.306,,0,,,,,hi,E_W,0.0,1.868,2.174,0.306,S23_M003_P049_P048,
13678,2.174,B,very much for coming here today.,B_W,0.0,2.174,3.89,1.716,,0,,,,,,0,,,,,S23_M003_P049_P048,
13679,3.89,E,very much for coming here today.,E_W,0.0,2.174,3.89,1.716,,0,,,,,,0,,,,,S23_M003_P049_P048,
13680,3.89,B,We are going to play a quiz.,B_W,0.0,3.89,5.655,1.765,,0,,,,,,0,,,,,S23_M003_P049_P048,
13681,5.655,E,We are going to play a quiz.,E_W,0.0,3.89,5.655,1.765,,0,,,,,,0,,,,,S23_M003_P049_P048,
13682,5.655,B,So I'm going to ask you three questions that were previously posed to a group of hundred people.,B_W,0.0,5.655,10.615,4.96,,0,,,,,,0,,,,,S23_M003_P049_P048,
13683,10.615,E,So I'm going to ask you three questions that were previously posed to a group of hundred people.,E_W,0.0,5.655,10.615,4.96,,0,,,,,,0,,,,,S23_M003_P049_P048,
13684,10.615,B,You have to find the three most famous [eh] answers to each question.,B_W,0.0,10.615,14.903,4.288,,0,,,,,,0,,,,,S23_M003_P049_P048,
13685,14.903,E,You have to find the three most famous [eh] answers to each question.,E_W,0.0,10.615,14.903,4.288,,0,,,,,,0,,,,,S23_M003_P049_P048,
13686,14.903,B,You have to talk to each other you have to collaborate in order to order these [eh] answers then eh in terms of popularity.,B_W,0.0,14.903,22.213,7.31,,0,,,,,,0,,,,,S23_M003_P049_P048,
